Total Dataset Population (in billions),,,PART1-3: Investigating Population Size,,,,,,
7.786695108,,,,,,,,,
,,,,,,,,,
Estimated World Population (in billions),,,,,,,,,
7.821,,,,,,,,,
,,,,,,,,,
Total Dataset Urban Population (in billions),,,,,,,,,
4.375308463,,,,,,,,,
,,,,,,,,,
Estimated World Urban Population (in billions),,,,,,,,,
4.30155,,,,,,,,,
,,,,,,,,,
Urban Share in Dataset (%),,,,,,,,,
56.18954386,,,,,,,,,
,,,,,,,,,
Population Percentage Difference,,,,,,,,,
0.4395894719,,,,,,,,,
,,,,,,,,,
Urban Population Percentage Difference,,,,,,,,,
1.700119067,,,,,,,,,
,,,,,,,,,
Urban Share Percentage Difference,,,,,,,,,
2.139668561,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
66.14900208,66,98.71385387,0.7944652371,0.4916808925,0,,,,
91.4529953,91,100,0,0,0,,,,
67.48800659,67,99.19173959,0.8082604128,0,0,,,,
100,100,100,0,0,0,,,,
24.67000008,25,91.41077689,3.557120425,3.899286137,1.132816553,,,,
42.31599808,42,98.10662849,1.3591415,0.4169208475,0.1173091586,,,,
26.7859993,27,100,0,0,0,,,,
99.65900421,100,NAN,NAN,NAN,NAN,,,,
57.24700546,57,98.19424406,0,1.495409344,0.3103465922,,,,
78.06199646,78,84.13501493,15.51511107,0.3498740029,0,,,,
24.17100143,24,96.74976305,0.7460644731,1.632164244,0.8720082294,,,,
66.82099915,67,99.72515812,0,0.2748418825,0,,,,
40.75999832,41,99.92231522,0,0.07768478119,0,,,,
31.31999969,31,96.47695792,1.527338152,1.995703929,0,,,,
69.22900391,69,99.98545421,0,0.01454579307,0,,,,
53.2140007,53,NAN,NAN,NAN,NAN,,,,
89.50600433,90,NAN,NAN,NAN,NAN,,,,
68.31500244,68,98.87692469,0.9987568151,0.1243184908,0,,,,
44.19599915,44,70.61434791,20.03063358,9.340625284,0.01439322693,,,,
55.11800385,55,NAN,NAN,NAN,NAN,,,,
58.48199844,58,97.93740299,1.727136954,0.3354600563,0,,,,
29.02799988,29,93.02090855,2.698211997,3.625530038,0.65534942,,,,
90.09200287,90,89.80653917,7.42998076,2.763480072,NAN,,,,
70.8769989,71,97.62498058,0.4366200322,1.788579159,0.1498202281,,,,
62.58199692,63,87.96690427,3.873689522,8.026457278,0.1329489253,,,,
52.03300095,52,96.26696535,2.584758965,0.6596102638,0.4886654211,,,,
68.04599762,68,100,0,0,0,,,,
93.58100128,94,NAN,NAN,NAN,NAN,,,,
